height,wall_seconds,blocks_per_sec,coins_in_db,db_size_bytes,rss_mb,avg_ops_per_block,ops_per_sec
5870000,32180.925848960876,33.46463650529493,368886152,65706873010,762.875,40.7,1360.6
5880000,32385.82219004631,17.564979349725697,369018680,65757876331,762.875,56.0,983.6
5910000,32599.20529651642,51.36770282016436,369329816,65808645076,762.875,50.2,2578.0
5920000,32800.51780819893,17.72368726702435,369431072,65808645076,762.875,43.9,778.1
5930000,33002.12732028961,18.069583930947644,369531617,65830665154,762.875,46.5,840.0
6000000,33261.65831422806,97.5220709323175,370274539,65985043460,762.875,42.8,4169.8
6010000,33466.37729239464,17.741393751216535,370423049,66004874758,762.875,61.7,1095.0
6020000,33679.388113737106,16.93341200821363,370547239,66004874758,762.875,49.5,837.5
6090000,33919.29605174065,105.59467190129486,371367620,66174563009,762.875,50.0,5276.6
6110000,34145.9476621151,32.09330826276786,371613963,66226270380,762.875,53.2,1707.7
6130000,34361.48669505119,33.497412981993904,371882689,66278525845,762.875,58.3,1951.9
6150000,34583.521176576614,32.7066316461687,372128460,66330843780,762.875,62.3,2038.9
6180000,34832.63404393196,43.58265438177085,372528687,66402394196,783.69140625,66.8,2911.1
6220000,35091.091915130615,56.098117394365886,373059112,66529199297,783.69140625,59.3,3326.1
6250000,35340.21010994911,43.674048007320316,373474969,66635591806,783.69140625,64.4,2812.6
6260000,35569.445883750916,15.656369599201547,373615561,66689006472,783.69140625,103.4,1618.9
6280000,35813.19415521622,29.912006990531218,373927248,66971870472,783.69140625,82.9,2478.6
6320000,36094.16607403755,51.21864156521274,374500225,66869930821,783.69140625,67.4,3450.0
6330000,36325.201795339584,15.720512739464624,374685188,66889136037,783.69140625,86.4,1357.8
6400000,36614.983218193054,87.25887170754233,376001554,67154816906,783.69140625,58.9,5142.8
6420000,36826.60963511467,34.220680505507815,376275642,67207707325,783.69140625,51.0,1746.0
6530000,37156.58920288086,120.15592440588233,378090662,67551300042,783.69140625,65.3,7846.7
6540000,37396.04915142059,14.946132001720246,378240899,67553425495,783.69140625,76.2,1139.6
