height,wall_seconds,blocks_per_sec,coins_in_db,db_size_bytes,rss_mb
5080000,23899.150943517685,16.35185045707483,229184306,51837592418,1318.1875
5100000,24126.64088368416,31.70689655429003,229169482,51875735806,1318.1875
5130000,24380.88373851776,42.81732915217884,229082189,51978842619,1318.1875
5140000,24569.60092663765,19.033772364804808,229070076,51978842619,1318.1875
5150000,24755.967430353165,19.456286015511772,229043615,52026207349,1318.1875
5170000,24949.107389211655,37.50130238614584,229048458,52073825809,1318.1875
5360000,25728.566690921783,88.23295821745957,228290728,52409988833,1318.1875
5400000,25933.36458492279,70.8015093159537,228534374,52516732029,1318.1875
5450000,26162.394959688187,79.17727078155156,228847144,52609494510,1318.1875
5460000,26338.219222784042,20.45223984837369,228914731,52661032052,1318.1875
5530000,26588.964916229248,98.54207129343797,229250960,53164749563,1318.1875
5560000,26790.85865712166,53.45386118607355,229477149,52850395578,1318.1875
5610000,26997.41501379013,88.15511802053067,230003595,53063726339,1318.1875
5630000,27186.70008802414,38.12239305820292,230196329,53115524113,1318.1875
5650000,27377.594464302063,37.72243132776236,230320829,53149614469,1318.1875
5670000,27592.06850862503,33.85024991214074,230488243,53202763480,1318.1875
5700000,27787.75190591812,55.43648643707915,230736896,53256889602,1318.1875
5710000,27992.525039196014,17.570664385533597,230761328,53309181027,1318.1875
5740000,28189.73076748848,55.21137795679339,230992673,53337415816,1318.1875
5750000,28402.273437023163,17.10715315640029,231040432,53337415816,1318.1875
5780000,28595.198073625565,55.8197241661459,231251495,53441455315,1318.1875
5800000,28785.460567235947,38.252415712073166,231347277,53492519993,1318.1875
5820000,28971.69147348404,38.62946352425689,231476001,53492519993,1318.1875
5830000,29151.733462810516,20.411905099182064,231545748,53518272469,1318.1875
5840000,29373.89108633995,16.19120668854033,231581597,53518272469,1318.1875
5850000,29565.211973667145,19.140617896765765,231631574,53567895075,1318.1875
5870000,29753.110521793365,38.77624426935771,231724055,53567895075,1318.1875
5880000,29935.213849067688,19.763504895099615,231787615,53618912915,1318.1875
5910000,30128.48264813423,56.71375852149867,231904456,53668771641,1318.1875
5920000,30309.08851957321,19.75572539016536,231950295,53668771641,1318.1875
5930000,30490.617378473282,20.068434419044273,231981998,53641197676,1318.1875
6000000,30746.110015392303,99.06352020634553,232271758,53741613741,1318.1875
6010000,30929.57500553131,19.796692531082414,232344549,53791313724,1318.1875
6020000,31112.01922917366,19.770425875860603,232414490,53791313724,1318.1875
6090000,31345.548730373383,108.47879976557807,232738623,53876293035,1318.1875
6110000,31539.35039782524,37.533216796531974,232831834,53926446475,1318.1875
6130000,31731.77655696869,37.52088610061436,232935813,53910197293,1318.1875
6150000,31953.679876565933,32.725963780895974,232995579,53961362072,1318.1875
6180000,32163.52193927765,51.7389119211791,233154863,54011874395,1318.1875
6220000,32392.124227046967,63.42456211387932,233247456,54305053314,1318.1875
6250000,32618.778144598007,48.00269996458328,233371382,54163941308,1318.1875
6260000,32820.62876486778,17.78047545855081,233281485,54210961360,1318.1875
6280000,33027.844431877136,35.18556345293567,233306257,54366122143,1318.1875
6320000,33281.33786892891,56.77070052531895,233269039,54329318135,1318.1875
6330000,33496.01430273056,16.91848488295536,233325190,54379655274,1318.1875
6400000,33729.823677778244,108.14793031649438,233833670,54513186518,1318.1875
6420000,33949.62191748619,32.948398538690235,233972933,54520757381,1318.1875
6530000,34238.126871824265,137.42918242415624,234591623,54785041278,1318.1875
6540000,34432.608313798904,18.40278416110621,234619176,54835685679,1318.1875
6560000,34663.203844070435,31.574766394762722,234615675,54805950854,1318.1875
6570000,34891.370346307755,15.668382365267538,234599443,54859939346,1318.1875
6590000,35126.50855255127,30.76488553505545,234523360,54912673025,1318.1875
6600000,35337.45799088478,17.22213639770978,234419841,54965368933,1318.1875
6630000,35632.10397529602,36.75936742067759,234034499,55057217544,1318.1875
6670000,35864.077963113785,62.61908991025078,234027469,55057359801,1318.1875
6690000,36062.633529901505,36.64969014835029,234056614,55106095282,1318.1875
6720000,36279.43229818344,50.134048667035664,234156186,55154079907,1318.1875
6740000,36464.946061849594,39.27471394042626,234237834,55203664565,1318.1875
6770000,36660.09103035927,55.38959104376887,234363852,55140028136,1318.1875
6780000,36857.570776224136,18.320866193922146,234407371,55189720119,1318.1875
6850000,37066.88259792328,120.9296244928898,234700216,55299352881,1318.1875
6860000,37269.02426457405,18.01212021413841,234733264,55299352881,1318.1875
6890000,37495.35694813728,48.12826777161741,234871591,55349280240,1318.1875
6910000,37685.66003060341,37.87116796325602,235227941,55455653544,1318.1875
6920000,37871.9604010582,19.409515886483646,235345860,55455653544,1318.1875
6930000,38059.54094624519,19.20241780089303,235562914,55428099277,1318.1875
6950000,38277.47405099869,33.335917497332474,235662615,55482923877,1318.1875
6990000,38498.295075416565,65.12513941057392,236209697,55596523832,1318.1875
7010000,38692.94406032562,37.32873306991436,236417405,55675338799,1318.1875
7100000,38978.21298313141,114.53052676979965,236952342,56009900204,1318.1875
7130000,39192.92364382744,50.65421514117261,237126700,55892640347,1318.1875
7160000,39390.589529037476,54.840014443977296,237554072,55987442093,1318.1875
7170000,39584.69078874588,18.402765676874857,237582862,55987442093,1318.1875
7220000,39801.41045546532,83.64261663186781,238146167,56146470772,1318.1875
7240000,40034.14284276962,31.38368529022029,238787737,56261255503,1318.1875
7250000,40255.87579727173,16.497322232565395,239210475,56241810077,1318.1875
7260000,40461.55390906334,17.56142142951804,239260483,56297526748,1318.1875
7290000,40669.843272686005,52.201417349843176,239382324,56347940926,1318.1875
7340000,40910.38198471069,75.01495226326803,240132994,56504999499,1318.1875
7350000,41121.3533513546,17.078146941529898,240176279,56558343277,1318.1875
7360000,41326.9065015316,17.528313221653157,240219844,56558343277,1318.1875
7370000,41525.432537555695,18.2192727585667,240353443,56590924391,1318.1875
7390000,41723.23888063431,36.6772869215659,240611401,56642539497,1318.1875
7400000,41917.36619901657,18.585740688465883,240935429,56705913543,1318.1875
7420000,42115.67287707329,36.700730763683346,241029570,56760613661,1318.1875
7440000,42314.705801963806,36.32564815081222,241113667,56761436665,1318.1875
7450000,42534.46102666855,16.42281772753736,241154314,56761436665,1318.1875
7580000,42843.404082775116,152.52001645166072,241808241,57049565772,1318.1875
7590000,43070.12890481949,15.96208111386993,241921037,57103467874,1318.1875
7630000,43285.6636736393,67.28844761062552,242185285,57204984972,1318.1875
7640000,43477.96330142021,18.99119640606221,242221458,57204984972,1318.1875
7650000,43674.30492067337,18.080730990726465,242254130,57160656565,1318.1875
7740000,43948.61905837059,118.58666955002403,242450929,57326532704,1318.1875
7850000,44183.526671648026,170.71392212664446,242719289,57488835862,1318.1875
7860000,44357.27416968346,20.771522127265662,242738352,57488835862,1318.1875
7900000,44543.01008462906,77.45405622931523,242820223,57583607666,1318.1875
7910000,44731.846017837524,19.058872635362683,242837978,57583607666,1318.1875
7940000,44930.464179992676,54.35555279968134,242984705,57632152061,1318.1875
7960000,45110.96794295311,40.35926941643237,243048436,57610112145,1318.1875
7990000,45306.16718459129,55.62521610676191,243119273,57658090089,1318.1875
8000000,45479.48888492584,21.145649926845543,243143333,57658090089,1318.1875
8030000,45658.66050577164,60.589952520122,243236369,57705251956,1318.1875
8130000,45857.09373879433,183.12960710489872,243503908,57881154355,1318.1875
8180000,46042.1274368763,98.19832921433944,243582677,57927133659,1318.1875
8220000,46233.60864400864,76.01790388724586,243704418,57923903785,1318.1875
8250000,46432.08781862259,54.76645104526681,243789260,57971814321,1318.1875
8270000,46613.40230178833,39.842377033921146,243864831,57971814321,1318.1875
8310000,46796.592618227005,79.42559564752311,244035482,58043782443,1318.1875
8430000,47016.9979467392,196.86003189165152,244800507,58378209538,1318.1875
8470000,47206.49988365173,76.32111964467838,245082508,58368983446,1318.1875
8500000,47463.09540438652,42.37798060099105,245223014,58411028442,1318.1875
8560000,47831.79309439659,58.64696358528685,244978026,58586431520,1318.1875
